DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
0.0,1,0,0,1,0,0,0,0,0,499.0,24.0,98.0,549.0,499.0,24.0,98.0,549.0,946749653.75,
10.0,1,0,0,1,0,0,160,1,0,499.0,24.0,98.0,549.0,777.0,24.0,97.0,549.0,946749663.75,
20.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,97.0,549.0,946749673.75,
30.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,97.0,549.0,946749683.75,
40.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,96.0,549.0,946749693.75,
50.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,96.0,549.0,946749703.75,
60.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,95.0,549.0,946749713.75,
70.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,95.0,549.0,946749723.75,
80.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,94.0,549.0,946749733.75,
90.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,94.0,549.0,946749743.75,
100.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,94.0,549.0,946749753.75,
110.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,93.0,549.0,946749763.75,
120.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,93.0,549.0,946749773.75,
130.0,1,0,0,1,0,0,255,1,0,499.0,24.0,98.0,549.0,1000.0,23.0,93.0,549.0,946749783.75,
