DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
0.0,1,0,1,0,0,0,0,0,0,496.0,24.0,51.0,549.0,496.0,24.0,51.0,549.0,946751436.25,
10.0,1,0,1,0,0,0,160,0,0,496.0,24.0,51.0,549.0,775.0,24.0,51.0,549.0,946751446.25,
20.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751456.25,
30.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751466.25,
40.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751476.25,
50.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751486.25,
60.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751496.25,
70.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751506.25,
80.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,51.0,549.0,946751516.25,
90.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751526.25,
100.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751536.25,
110.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751546.25,
120.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751556.25,
130.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751566.25,
140.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751576.25,
150.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751586.25,
160.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,52.0,549.0,946751596.25,
170.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751606.25,
180.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751616.25,
190.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751626.25,
200.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751636.25,
210.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751646.25,
220.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751656.25,
230.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751666.25,
240.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751676.25,
250.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,53.0,549.0,946751686.25,
260.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751696.25,
270.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751706.25,
280.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751716.25,
290.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751726.25,
300.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751736.25,
310.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751746.25,
320.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751756.25,
330.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751766.25,
340.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,54.0,549.0,946751776.25,
350.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751786.25,
360.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751796.25,
370.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751806.25,
380.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751816.25,
390.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751826.25,
400.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751836.25,
410.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751846.25,
420.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751856.25,
430.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,55.0,549.0,946751866.25,
440.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751876.25,
450.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751886.25,
460.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751896.25,
