DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
0.0,1,0,0,1,0,0,0,0,0,499.0,24.0,80.0,549.0,499.0,24.0,80.0,549.0,946749621.25,
10.0,1,0,0,1,0,0,160,1,0,499.0,24.0,80.0,549.0,777.0,23.0,80.0,549.0,946749631.25,
20.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749641.25,
30.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749651.25,
40.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749661.25,
50.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749671.25,
60.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749681.25,
70.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,80.0,549.0,946749691.25,
80.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749701.25,
90.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749711.25,
100.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749721.25,
110.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749731.25,
120.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749741.25,
130.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749751.25,
140.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749761.25,
150.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749771.25,
160.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749781.25,
170.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749791.25,
180.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749801.25,
190.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749811.25,
200.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749821.25,
210.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749831.25,
220.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749841.25,
230.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,79.0,549.0,946749851.25,
240.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749861.25,
250.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749871.25,
260.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749881.25,
270.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749891.25,
280.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749901.25,
290.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749911.25,
300.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749921.25,
310.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749931.25,
320.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749941.25,
330.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749951.25,
340.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749961.25,
350.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749971.25,
360.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749981.25,
370.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946749991.25,
380.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750001.25,
390.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750011.25,
400.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,78.0,549.0,946750021.25,
