DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
0.0,1,0,1,0,0,0,0,0,0,496.0,24.0,80.0,549.0,496.0,24.0,80.0,549.0,946751408.75,
10.0,1,0,1,0,0,0,160,0,0,496.0,24.0,80.0,549.0,775.0,24.0,80.0,549.0,946751418.75,
20.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751428.75,
30.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751438.75,
40.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751448.75,
50.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751458.75,
60.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751468.75,
70.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751478.75,
80.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751488.75,
90.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751498.75,
100.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751508.75,
110.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751518.75,
120.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751528.75,
130.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751538.75,
140.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,80.0,549.0,946751548.75,
150.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751558.75,
160.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751568.75,
170.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751578.75,
180.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751588.75,
190.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751598.75,
200.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751608.75,
