None, unix_time: 946703175.0, midnight_time: 375.0, light: 0.0, temp: 20.0, humid: 59.0, weight: 774.9429626464844, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [59, 59], weight_raw: [697.4486694335938, 852.437255859375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703275.0, midnight_time: 475.0, light: 0.0, temp: 20.0, humid: 62.0, weight: 774.9289855957031, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [62, 62], weight_raw: [697.4360961914062, 852.421875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703375.0, midnight_time: 575.0, light: 0.0, temp: 20.0, humid: 64.0, weight: 774.9158325195312, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [64, 64], weight_raw: [697.4242553710938, 852.4074096679688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703475.0, midnight_time: 675.0, light: 0.0, temp: 20.0, humid: 66.0, weight: 774.900634765625, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [66, 66], weight_raw: [697.4105834960938, 852.3906860351562], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703575.0, midnight_time: 775.0, light: 0.0, temp: 20.0, humid: 68.0, weight: 774.89208984375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [68, 68], weight_raw: [697.400390625, 852.3782958984375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703675.0, midnight_time: 875.0, light: 0.0, temp: 20.0, humid: 69.0, weight: 774.88134765625, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [69, 69], weight_raw: [697.3931884765625, 852.3695068359375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703775.0, midnight_time: 975.0, light: 0.0, temp: 20.0, humid: 71.0, weight: 774.8712768554688, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [71, 71], weight_raw: [697.3841552734375, 852.3583984375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703875.0, midnight_time: 1075.0, light: 0.0, temp: 20.0, humid: 73.0, weight: 774.8618774414062, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [73, 73], weight_raw: [697.3756713867188, 852.3480834960938], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946703975.0, midnight_time: 1175.0, light: 0.0, temp: 20.0, humid: 74.0, weight: 774.8530578613281, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [74, 74], weight_raw: [697.3677368164062, 852.33837890625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946704075.0, midnight_time: 1275.0, light: 0.0, temp: 20.0, humid: 75.0, weight: 774.8448181152344, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [75, 75], weight_raw: [697.3603515625, 852.3292846679688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946704175.0, midnight_time: 1375.0, light: 0.0, temp: 20.0, humid: 77.0, weight: 774.8352355957031, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [77, 77], weight_raw: [697.3516845703125, 852.3187866210938], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
